common_name,yr_since_fire,status,n,prop_alive
California incense cedar,0,live,2813,82.71096736254043
California incense cedar,1,live,1946,53.067902917916555
California incense cedar,2,live,1455,44.1712204007286
California incense cedar,3,live,1383,42.19035997559487
California incense cedar,4,live,1230,39.29712460063898
California incense cedar,5,live,1036,35.0236646382691
California incense cedar,6,live,272,12.391799544419134
California incense cedar,7,live,264,12.06030150753769
California incense cedar,8,live,239,11.018902720147533
California incense cedar,9,live,237,10.926694329183956
California incense cedar,10,live,232,10.69617335177501
Douglas fir,0,live,15738,97.70300471815247
Douglas fir,1,live,15594,69.42700681180713
Douglas fir,2,live,13186,59.871049763893936
Douglas fir,3,live,12115,49.91965058304833
Douglas fir,4,live,7093,36.3930220625962
Douglas fir,5,live,5758,31.424984991540686
Douglas fir,6,live,2193,14.85973709174685
Douglas fir,7,live,2193,14.858730266278203
Douglas fir,8,live,114,0.8990536277602523
Douglas fir,9,live,114,0.8990536277602523
Douglas fir,10,live,110,0.8668925841279849
Ponderosa pine,0,live,54915,98.33115476211793
Ponderosa pine,1,live,54021,78.21422366363583
Ponderosa pine,2,live,37702,66.46920893496235
Ponderosa pine,3,live,33197,59.97976403418433
Ponderosa pine,4,live,10803,32.534256889022735
Ponderosa pine,5,live,6527,22.30385456533625
Ponderosa pine,6,live,1563,6.424431748119528
Ponderosa pine,7,live,1535,6.315572927381197
Ponderosa pine,8,live,885,3.740964619351566
Ponderosa pine,9,live,841,3.558733920108328
Ponderosa pine,10,live,804,3.3908312597528574
Sugar pine,0,live,2255,89.733386390768
Sugar pine,1,live,1797,65.56001459321415
Sugar pine,2,live,1187,46.65880503144654
Sugar pine,3,live,1037,39.38473224458792
Sugar pine,4,live,502,23.791469194312796
Sugar pine,5,live,440,21.27659574468085
Sugar pine,6,live,226,12.183288409703504
Sugar pine,7,live,225,12.129380053908356
Sugar pine,8,live,211,11.436314363143632
Sugar pine,9,live,206,11.16531165311653
Sugar pine,10,live,202,10.948509485094851
White fir,0,live,12198,90.22189349112426
White fir,1,live,9763,65.2650578247209
White fir,2,live,6992,49.378531073446325
White fir,3,live,5755,42.37849779086893
White fir,4,live,4645,36.64983430645416
White fir,5,live,3965,32.04817329453605
White fir,6,live,1771,17.362745098039216
White fir,7,live,1720,16.915814319433515
White fir,8,live,1589,15.795228628230616
White fir,9,live,1510,15.009940357852882
White fir,10,live,1434,14.264398686959117
